source_short_name,label,svg_group_id,candidate_ontology_id,candidate_ontology_ids,x,y,width,height,source_attributes,confidence,notes
OA-F,OA-F,svg_55_6,,[],166,489,,,"{""data-filter"":""OA-F"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_55_6""}",0.12,no canonical ontology alias match found
PHWL-T,PHWL-T,svg_299_6,,[],827,482,,,"{""data-filter"":""PHWL-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_299_6""}",0.12,no canonical ontology alias match found
PHWE-T,PHWE-T,svg_303_6,,[],827,427,,,"{""data-filter"":""PHWE-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_303_6""}",0.12,no canonical ontology alias match found
CCWL-T,CCWL-T,svg_491_6,,[],633,550,,,"{""data-filter"":""CCWL-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_491_6""}",0.12,no canonical ontology alias match found
CCWE-T,CCWE-T,svg_498_6,,[],633,495,,,"{""data-filter"":""CCWE-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_498_6""}",0.12,no canonical ontology alias match found
RHWL-T,RHWL-T,svg_561_6,,[],1555,606,,,"{""data-filter"":""RHWL-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_561_6""}",0.12,no canonical ontology alias match found
RHWE-T,RHWE-T,svg_563_6,,[],1555,551,,,"{""data-filter"":""RHWE-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_563_6""}",0.12,no canonical ontology alias match found
DA1-P,DA1-P,svg_119_6,,[],1926,541,,,"{""data-filter"":""DA1-P"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_119_6""}",0.12,no canonical ontology alias match found
DAP-SP,DAP-SP,svg_203_6,,[],1926,486,,,"{""data-filter"":""DAP-SP"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_203_6""}",0.12,no canonical ontology alias match found
SF-S,SF-S,svg_265_6,,[],1207,557,,,"{""data-filter"":""SF-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_265_6""}",0.12,no canonical ontology alias match found
SF-C,SF-C,svg_407_6,,[],1207,502,,,"{""data-filter"":""SF-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_407_6""}",0.12,no canonical ontology alias match found
SF-O,SF-O,svg_409_6,,[],1207,447,,,"{""data-filter"":""SF-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_409_6""}",0.12,no canonical ontology alias match found
LT-A,LT-A,svg_465_6,,[],837,516,,,"{""data-filter"":""LT-A"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_465_6""}",0.12,no canonical ontology alias match found
MAD-O,MAD-O,svg_34,,[],390,388,,,"{""data-filter"":""MAD-O"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_102_6""}",0.12,no canonical ontology alias match found
OA-F,OA-F,svg_157,,[],162,488,,,"{""data-filter"":""OA-F"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_55_6""}",0.12,no canonical ontology alias match found
MOAD-S,MOAD-S,svg_169,,[],98,679,,,"{""data-filter"":""MOAD-S"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_354_6""}",0.12,no canonical ontology alias match found
MOAD-C,MOAD-C,svg_171,,[],98,624,,,"{""data-filter"":""MOAD-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_357_6""}",0.12,no canonical ontology alias match found
MOA-F,MOA-F,svg_173,,[],157,683,,,"{""data-filter"":""MOA-F"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_361_6""}",0.12,no canonical ontology alias match found
MA-T,MA-T,svg_378,,[],659,424,,,"{""data-filter"":""MA-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_272_6""}",0.12,no canonical ontology alias match found
PH1-C,PH1-C,svg_380,,[],690,446,,,"{""data-filter"":""PH1-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_35_6""}",0.12,no canonical ontology alias match found
PH2-C,PH2-C,svg_382,,[],690,391,,,"{""data-filter"":""PH2-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_37_6""}",0.12,no canonical ontology alias match found
PH3-C,PH3-C,svg_384,,[],690,336,,,"{""data-filter"":""PH3-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_39_6""}",0.12,no canonical ontology alias match found
PH4-C,PH4-C,svg_386,,[],690,281,,,"{""data-filter"":""PH4-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_41_6""}",0.12,no canonical ontology alias match found
PH5-C,PH5-C,svg_388,,[],690,226,,,"{""data-filter"":""PH5-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_194_6""}",0.12,no canonical ontology alias match found
PH6-C,PH6-C,svg_390,,[],690,171,,,"{""data-filter"":""PH6-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_212_6""}",0.12,no canonical ontology alias match found
PH7-C,PH7-C,svg_392,,[],690,116,,,"{""data-filter"":""PH7-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_214_6""}",0.12,no canonical ontology alias match found
PH8-C,PH8-C,svg_394,,[],690,61,,,"{""data-filter"":""PH8-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_216_6""}",0.12,no canonical ontology alias match found
PH-T,PH-T,svg_375,,[],756,430,,,"{""data-filter"":""PH-T"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_384_6""}",0.12,no canonical ontology alias match found
LT-A,LT-A,svg_434,,[],804,436,,,"{""data-filter"":""LT-A"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_465_6""}",0.12,no canonical ontology alias match found
CLG1-C,CLG1-C,svg_438,,[],863,457,,,"{""data-filter"":""CLG1-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_627_6""}",0.12,no canonical ontology alias match found
CLG2-C,CLG2-C,svg_440,,[],863,402,,,"{""data-filter"":""CLG2-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_625_6""}",0.12,no canonical ontology alias match found
CLG3-C,CLG3-C,svg_442,,[],863,347,,,"{""data-filter"":""CLG3-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_622_6""}",0.12,no canonical ontology alias match found
CLG4-C,CLG4-C,svg_444,,[],863,292,,,"{""data-filter"":""CLG4-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_620_6""}",0.12,no canonical ontology alias match found
CLG5-C,CLG5-C,svg_446,,[],863,237,,,"{""data-filter"":""CLG5-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_615_6""}",0.12,no canonical ontology alias match found
CLG6-C,CLG6-C,svg_448,,[],863,182,,,"{""data-filter"":""CLG6-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_389_6""}",0.12,no canonical ontology alias match found
CLG7-C,CLG7-C,svg_450,,[],863,127,,,"{""data-filter"":""CLG7-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_335_6""}",0.12,no canonical ontology alias match found
CLG8-C,CLG8-C,svg_452,,[],863,72,,,"{""data-filter"":""CLG8-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_382_6""}",0.12,no canonical ontology alias match found
RH1-C,RH1-C,svg_454,,[],978,465,,,"{""data-filter"":""RH1-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_72_6""}",0.12,no canonical ontology alias match found
RH2-C,RH2-C,svg_456,,[],978,410,,,"{""data-filter"":""RH2-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_98_6""}",0.12,no canonical ontology alias match found
RH3-C,RH3-C,svg_458,,[],978,355,,,"{""data-filter"":""RH3-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_100_6""}",0.12,no canonical ontology alias match found
RH4-C,RH4-C,svg_460,,[],978,300,,,"{""data-filter"":""RH4-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_284_6""}",0.12,no canonical ontology alias match found
RH5-C,RH5-C,svg_462,,[],978,245,,,"{""data-filter"":""RH5-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_292_6""}",0.12,no canonical ontology alias match found
RH6-C,RH6-C,svg_464,,[],978,190,,,"{""data-filter"":""RH6-C"",""class"":""bas-floor-graphics-display-point"",""id"":""svg_286_6""}",0.12,no canonical ontology alias match found
