Invoice List by Date,,,,,,,,
The Controls Company,,,,,,,,
"April, 2020-December, 2025",,,,,,,,

Date,Transaction type,Num,Name,Location full name,Memo,Due date,Amount,Open balance
03/13/2024,Invoice,T039,Trane U.S. Inc.:Freeport Middle School,,,04/12/2024,"5,000.00",0.00
03/15/2024,Invoice,S249.,Siemens Industry:TAFB Small Arms Fire 338549,,,04/14/2024,"35,000.00",0.00
03/15/2024,Invoice,S250.,Siemens Industry:TAFB Chapel IOT 355486,,,04/14/2024,"2,500.00",0.00
03/15/2024,Invoice,S251.,Siemens Industry:TAFB WEG GS 364281,,,04/14/2024,"2,500.00",0.00
03/15/2024,Invoice,S252.,Siemens Industry:TAFB Bowling Rec Center Fire 355479,,,04/14/2024,"2,500.00",0.00
03/15/2024,Invoice,S253.,Siemens Industry:TAFB Rec Center BAU 355483,,,04/14/2024,"2,500.00",0.00
03/15/2024,Invoice,S254.,Siemens Industry:TAFB Chapel Fire 355488,,,04/14/2024,"2,500.00",0.00
03/15/2024,Invoice,S255.,Siemens Industry:TAFB Clinic,,,04/14/2024,"2,218.00",0.00
03/15/2024,Invoice,S257,Siemens Industry:TAFB Pumphouse BAU 351459,,,04/14/2024,"2,500.00",0.00
03/15/2024,Invoice,S258,Siemens Industry:TAFB Concessions BAU 351461,,,04/14/2024,"2,500.00",0.00
03/15/2024,Invoice,S259,Siemens Industry:TAFB Bathhouse BAU 353220,,,04/14/2024,"2,500.00",0.00
03/15/2024,Invoice,S261,Siemens Industry:TAFB Airey Gate IOT 350991,,,04/14/2024,"2,500.00",0.00
03/15/2024,Invoice,S262,Siemens Industry:TAFB Marina BAU 353283,,,04/14/2024,"4,500.00",0.00
03/15/2024,Invoice,T041,Trane U.S. Inc.:Beulah Fire Station,,,04/14/2024,"4,000.00",0.00
03/15/2024,Invoice,S264,Siemens Industry:TAFB Airey Gate SES 351960,,,04/14/2024,"2,500.00",0.00
03/18/2024,Invoice,S265,Siemens Industry:TAFB Chapel GS 355490,,,04/17/2024,"2,500.00",0.00
03/18/2024,Invoice,S266,Siemens Industry:TAFB Rec Center IOT 355569,,,04/17/2024,"2,500.00",0.00
03/18/2024,Invoice,S256.,Siemens Industry:TAFB Mobility Storage IOT 334929,,,04/17/2024,"6,500.00",0.00
03/18/2024,Invoice,S268,Siemens Industry:TAFB Bowling Rec Center GS 355492,,,04/17/2024,"2,500.00",0.00
04/09/2024,Invoice,E0118,Engineered Cooling Services:Careertech,,,05/09/2024,"38,500.00",0.00
04/09/2024,Invoice,S267,Siemens Industry:Eglin B8840,,,05/09/2024,"4,000.00",0.00
04/09/2024,Invoice,E119,Engineered Cooling Services:Silverhill Elementary,,,05/09/2024,"12,500.00",0.00
04/09/2024,Invoice,S273,Siemens Industry:TAFB Marina BAU 353283,,,05/09/2024,"22,000.00",0.00
04/09/2024,Invoice,S274,Siemens Industry:TAFB Marina IOT 353312,,,05/09/2024,"16,500.00",0.00
04/09/2024,Invoice,S275,Siemens Industry:TAFB Marina Fire 353397,,,05/09/2024,"3,500.00",0.00
04/09/2024,Invoice,S276,Siemens Industry:TAFB WEG BAU 337878,,,05/09/2024,"15,000.00",0.00
04/09/2024,Invoice,S277,Siemens Industry:TAFB WEG IOT 337876,,,05/09/2024,"4,000.00",0.00
04/09/2024,Invoice,S278,Siemens Industry:TAFB WEG FIRE 339113,,,05/09/2024,"23,000.00",0.00
04/09/2024,Invoice,S279,Siemens Industry:TAFB FMS Facilities Fire 342054,,,05/09/2024,"5,500.00",0.00
04/17/2024,Invoice,E0119,Engineered Cooling Services:IHMC,,,05/17/2024,"2,813.00",0.00
